"Date: 2024-11-10+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"Sailing","Sailing","Generator ticket scope","TEXT","Assets, Generator, Star-Sailors, Classification, godot","","N","","","","","0","2","2024-08-27T09:53:02+0000","2024-08-31T06:42:16+0000","-4194305","Australia/Perth","false","false","Done","0","kanban","190",""
"Sailing","Sailing","Go through unmarked Notebook pages","TEXT","","","N","","","","","0","2","2024-08-21T14:41:28+0000","2024-10-25T01:01:19+0000","-3145729","Australia/Perth","false","false","In Review","-1152921504606715904","kanban","191",""
"Sailing","Sailing","Move Notes into Obsidian","TEXT","","","N","","","","","0","2","2024-08-21T14:41:23+0000","2024-09-01T10:22:55+0000","-2097153","Australia/Perth","false","false","Done","0","kanban","192",""
"Sailing","Sailing","Either create new obsidian vault or move everything into a new space","TEXT","Confluence, Content","","N","","","","","0","2","2024-08-21T02:12:07+0000","2024-08-30T02:16:02+0000","-1048577","Australia/Perth","false","false","Done","0","kanban","193",""
"Sailing","Sailing","Determine scenes / component groups for Chapter 1","TEXT","Onboarding, Star-Sailors, Frontend","","N","","","","","0","2","2024-08-20T06:06:56+0000","2024-09-01T10:20:40+0000","-1","Australia/Perth","false","false","Done","0","kanban","194",""
"Sailing","Kinetika","Kanban board/plugin with Rhys","TEXT","Team","","N","","","","","0","0","2024-08-29T08:35:54+0000","","-24510465","Australia/Perth","false","false",,,"list","195",""
"Sailing","Kinetika","Email Kostas and get back to Rob, check flights","TEXT","Funding, Confluence, Star-Sailors, Team, Users, Talon","","N","2024-08-22T04:00:00+0000","2024-08-22T04:00:00+0000","PT0S","","0","2","2024-08-22T01:12:54+0000","2024-08-23T10:01:17+0000","-23461889","Australia/Perth","false","false",,,"list","196",""
"Sailing","Kinetika","Check in with Nathan again","TEXT","Confluence, Star-Sailors, Team, Talon","","N","2024-08-29T10:00:00+0000","2024-08-29T10:00:00+0000","PT0S","","0","2","2024-08-22T01:12:22+0000","2024-09-20T04:20:16+0000","-22413313","Australia/Perth","false","false",,,"list","197",""
"Sailing","Kinetika","Get back to Rob Gell","TEXT","Star-Sailors, Content","","N","","","","","0","2","2024-07-26T03:18:28+0000","2024-08-04T16:55:08+0000","-21364737","Australia/Perth","false","false",,,"list","198",""
"Sailing","Kinetika","Figure out what I can do with my tablet tomorrow","TEXT","","","N","2024-07-15T22:00:00+0000","2024-07-15T22:00:00+0000","","","0","2","2024-07-15T18:36:07+0000","2024-07-18T12:40:17+0000","-20316161","Europe/Zurich","true","false",,,"list","199",""
"Sailing","Kinetika","With new laptop, start using Figma more often!","TEXT","Frontend","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-03T14:40:41+0000","2024-08-26T15:27:21+0000","-20250625","Australia/Perth","true","false",,,"list","200",""
"Sailing","Kinetika","Pocketbase on Rasp-pi","TEXT","","","N","","","","","0","0","2024-07-01T05:25:01+0000","","-19202049","Europe/Zurich","false","false",,,"list","201",""
"Sailing","Kinetika","Create some sort of blog/site for development updates","TEXT","Confluence, Star-Sailors","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-06-30T10:24:57+0000","2024-08-13T05:10:21+0000","-18153473","Australia/Perth","true","false",,,"list","202",""
"Sailing","Kinetika","Find a pipeline (funnel?) for photos into obsidian notes (maybe add photo, select note, home page in funnel app)","TEXT","Confluence","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-06-30T09:45:14+0000","2024-08-13T05:10:35+0000","-17104897","Australia/Perth","true","false",,,"list","203",""
"Sailing","Kinetika","Email rob about soft launch","TEXT","Star-Sailors","","N","2024-06-29T10:30:00+0000","2024-06-29T10:30:00+0000","PT0S","","0","2","2024-06-29T10:03:50+0000","2024-06-29T12:55:34+0000","-16056321","Europe/Tallinn","false","false",,,"list","204",""
"Sailing","Kinetika","Install Warp for Docker","TEXT","","","N","2024-08-06T10:00:00+0000","2024-08-06T10:00:00+0000","PT0S","","0","2","2024-06-26T14:47:09+0000","2024-08-06T05:18:21+0000","-15990785","Europe/Berlin","false","false",,,"list","205",""
"Sailing","Kinetika","Ask Josh if he's interested in seeing w3 results for SS","TEXT","","","N","","","","","0","0","2024-06-25T06:04:22+0000","","-14942209","Australia/Perth","false","false",,,"list","206",""
"Sailing","Kinetika","Ask Rhys about splitting ss dB between local and cloud for inventory and data","TEXT","","","N","2024-06-28T22:00:00+0000","2024-06-28T22:00:00+0000","","","0","2","2024-06-24T23:38:39+0000","2024-07-10T07:03:06+0000","-14876673","Europe/Berlin","true","false",,,"list","207",""
"Sailing","Kinetika","Come up with a better naming convention for versions","TEXT","Star-Sailors, Sprints","","N","2024-07-15T11:00:00+0000","2024-07-15T11:00:00+0000","PT0S","","0","2","2024-06-24T07:07:12+0000","2024-07-18T12:40:14+0000","-14811137","Europe/Warsaw","false","false",,,"list","208",""
"Sailing","Kinetika","Go through technical demo for  Star Sailors","TEXT","Star-Sailors, Progress","","N","2024-06-21T22:00:00+0000","2024-06-21T22:00:00+0000","","","0","2","2024-06-22T11:52:20+0000","2024-06-22T11:52:21+0000","-13762561","Europe/Warsaw","true","false",,,"list","209",""
"Sailing","Kinetika","Respond to Rob's latest email","TEXT","Star-Sailors","","N","2024-06-16T22:00:00+0000","2024-06-16T22:00:00+0000","","","0","2","2024-06-18T22:41:10+0000","2024-06-18T22:41:12+0000","-12713985","Europe/Warsaw","true","false",,,"list","210",""
"Sailing","Kinetika","Respond to Rob's #Funding  email","TEXT","Progress","","N","2024-06-17T21:00:00+0000","2024-06-17T21:00:00+0000","PT0S","","5","2","2024-06-17T17:48:10+0000","2024-06-17T23:21:14+0000","-11665409","Europe/Warsaw","false","false",,,"list","211",""
"Sailing","Kinetika","Write some short stories or drawings for scrooby","TEXT","","","N","","","","","0","0","2024-06-16T20:32:34+0000","","-11599873","Australia/Perth","false","false",,,"list","212",""
"Sailing","Kinetika","Create a portfolio system for classifications like Voidpet.com profile page, generate little cities like GitHub city graph","TEXT","Star-Sailors","","N","","","","","0","0","2024-06-13T14:54:35+0000","","-11534337","Australia/Perth","false","false",,,"list","213",""
"Sailing","Kinetika","Certain pages aren't being updated to Confluence, so let's investigate this, no?","TEXT","Confluence","","N","2024-06-08T22:00:00+0000","2024-06-08T22:00:00+0000","","","0","2","2024-06-08T20:13:48+0000","2024-06-09T21:07:42+0000","-10485761","Europe/Warsaw","true","false",,,"list","214",""
"Sailing","Kinetika","Merge old obsidian/quartz in","TEXT","Star-Sailors","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-06-07T21:54:15+0000","2024-08-13T05:10:44+0000","-9437185","Australia/Perth","true","false",,,"list","215",""
"Sailing","Kinetika","Look into ultimate self-hostable open-source Jira alternative '","TEXT","Star-Sailors, Progress","","N","2025-01-21T06:00:00+0000","2025-01-21T06:00:00+0000","","","0","0","2024-06-07T17:50:48+0000","","-8388609","Europe/Warsaw","true","false",,,"list","216",""
"Sailing","Kinetika","We'll set up some more confluence spaces & jira boards soon, for now we'll just have one confluence space to simplify the obsidian vault handling process and mention Jira tickets semi-manually","TEXT","Star-Sailors, Sprints","","N","","","","","0","2","2024-06-07T16:33:08+0000","2024-08-26T15:27:35+0000","-7340033","Australia/Perth","false","false",,,"list","217",""
"Sailing","Kinetika","Repos: client is frontend, sytizen is citizen science stuff, sailing could be Unity, starsailors is starting client & components to build off of (submodules of others), maybe we have a TUI app too?","TEXT","Star-Sailors, Progress, Sprints","","N","","","","","0","0","2024-06-07T15:59:16+0000","","-6291457","Australia/Perth","false","false",,,"list","218",""
"Sailing","Kinetika","Update PRs & organise branches","TEXT","Star-Sailors, Sprints","","N","2024-07-23T04:00:00+0000","2024-07-23T04:00:00+0000","","","0","2","2024-06-07T15:51:29+0000","2024-08-04T16:55:03+0000","-5242881","Australia/Melbourne","true","false",,,"list","219",""
"Sailing","Kinetika","What are some apps we can make with go? Either consumer-facing or otherwise","TEXT","Star-Sailors","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-07T12:55:56+0000","2024-06-09T19:07:43+0000","-4194305","Europe/Warsaw","true","false",,,"list","220",""
"Sailing","Kinetika","Organise jira, obsidian & confluence","TEXT","Sprints","","N","2024-06-14T22:00:00+0000","2024-06-14T22:00:00+0000","","","0","2","2024-06-06T18:13:06+0000","2024-06-09T19:07:37+0000","-3145729","Europe/Warsaw","true","false",,,"list","221",""
"Sailing","Kinetika","Investigate ocean citizen science","TEXT","Star-Sailors, Sprints","","N","2024-08-06T11:00:00+0000","2024-08-06T11:00:00+0000","PT0S","","0","2","2024-06-06T18:06:09+0000","2024-08-13T03:19:51+0000","-2097153","Europe/Berlin","false","false",,,"list","222",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","","","","","0","2","2024-06-03T18:48:12+0000","2024-08-22T01:11:43+0000","-1048577","Australia/Perth","false","false",,,"list","223",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-08-20T14:00:00+0000","2024-08-20T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-08-20T14:41:18+0000","-1048577","Europe/Warsaw","false","false",,,"list","224",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-08-13T14:00:00+0000","2024-08-13T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-08-13T05:11:38+0000","-1048577","Europe/Warsaw","false","false",,,"list","225",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-08-06T14:00:00+0000","2024-08-06T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-08-13T03:24:38+0000","-1048577","Europe/Warsaw","false","false",,,"list","226",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-07-20T14:00:00+0000","2024-07-20T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-07-20T22:35:14+0000","-1048577","Europe/Warsaw","false","false",,,"list","227",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-07-13T14:00:00+0000","2024-07-13T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-07-15T09:32:56+0000","-1048577","Europe/Warsaw","false","false",,,"list","228",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-07-06T14:00:00+0000","2024-07-06T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-07-06T13:17:34+0000","-1048577","Europe/Warsaw","false","false",,,"list","229",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-06-29T14:00:00+0000","2024-06-29T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-06-29T13:22:42+0000","-1048577","Europe/Warsaw","false","false",,,"list","230",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-06-22T14:00:00+0000","2024-06-22T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-06-22T17:05:37+0000","-1048577","Europe/Warsaw","false","false",,,"list","231",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-06-15T14:00:00+0000","2024-06-15T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-06-15T23:16:57+0000","-1048577","Europe/Warsaw","false","false",,,"list","232",""
"Sailing","Kinetika","Create PR into `client/main` branch after completion of sprint","TEXT","Star-Sailors, Sprints","","N","2024-06-08T14:00:00+0000","2024-06-08T14:00:00+0000","PT0S","","0","2","2024-06-03T18:48:12+0000","2024-06-08T16:53:16+0000","-1048577","Europe/Warsaw","false","false",,,"list","233",""
"Sailing","Kinetika","Is there a way to track Jira/Github accomplishments & progress?","TEXT","","","N","","","","","0","0","2024-06-02T12:07:04+0000","","-1","Australia/Perth","false","false",,,"list","234",""
"Sailing","Star Sailors","URGENT - investigate current onboarding for new users error","TEXT","Bug, Missions, Onboarding, Star-Sailors","","N","2024-08-06T07:00:00+0000","2024-08-06T07:00:00+0000","PT0S","","5","2","2024-08-06T02:48:44+0000","2024-08-06T07:10:18+0000","-4611686018501738496","Australia/Perth","false","false","In Progress","-1152921504606715904","kanban","235",""
"Sailing","Star Sailors","Change PlanetGrid layout","TEXT","Layout, Tailwind, Styling, Missions, Star-Sailors","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-23T09:34:51+0000","2024-08-06T05:17:28+0000","-4611686018500689920","Australia/Perth","true","false","In Progress","-1152921504606715904","kanban","236",""
"Sailing","Star Sailors","Move mock data into the main component","TEXT","Tailwind, Styling, Star-Sailors, Frontend, godot, Content","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-23T09:22:55+0000","2024-08-06T05:17:34+0000","-4611686018499641344","Australia/Perth","true","false","In Progress","-1152921504606715904","kanban","237",""
"Sailing","Star Sailors","Add an image expander/full component for the post card","TEXT","Tailwind, Styling, Star-Sailors","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-23T09:09:36+0000","2024-08-13T05:10:50+0000","-4611686018498592768","Australia/Perth","true","false","In Progress","-1152921504606715904","kanban","238",""
"Sailing","Star Sailors","Adjust { activePlanet } and { inventoryContext} to use electric","TEXT","Database, Star-Sailors, api","","N","","","","","0","0","2024-07-18T14:44:12+0000","","-4611686018497544192","Europe/Zurich","false","false","Blocked . Icebox","-2305843009213431808","kanban","239",""
"Sailing","Star Sailors","Re-organise public dir","TEXT","Layout, Star-Sailors, Frontend","","N","2024-07-17T22:00:00+0000","2024-07-17T22:00:00+0000","","","0","2","2024-07-18T12:41:39+0000","2024-07-19T03:17:58+0000","-4611686018496495616","Europe/Zurich","true","false","Done","-288230376151678976","kanban","240",""
"Sailing","Star Sailors","New landing page with microblog","TEXT","Tailwind, Styling, Star-Sailors, Content, Frontend","","N","","","","","0","0","2024-07-18T12:35:49+0000","","-4611686018495447040","Europe/Zurich","false","false","In Review","-576460752303357952","kanban","241",""
"Sailing","Star Sailors","New login page","TEXT","Tailwind, Styling, Star-Sailors, Frontend","","N","","","","","0","2","2024-07-18T12:35:37+0000","2024-08-18T06:37:32+0000","-4611686018494398464","Europe/Zurich","false","false","Done","-288230376151678976","kanban","242",""
"Sailing","Star Sailors","Do a Godot course on the plane","TEXT","Star-Sailors, Content, godot","","N","2024-07-18T05:00:00+0000","2024-07-18T05:00:00+0000","PT0S
-PT5M","","0","2","2024-07-17T22:18:20+0000","2024-07-18T06:07:22+0000","-4611686018493349888","Europe/Zurich","false","false","Done","-288230376151678976","kanban","243",""
"Sailing","Star Sailors","Plan out offline API pipeline - just an aggregator for now?","TEXT","Star-Sailors","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","5","2","2024-07-17T12:30:36+0000","2024-08-13T03:24:57+0000","-4611686018493284352","Australia/Perth","true","false","In Review","-576460752303357952","kanban","244",""
"Sailing","Star Sailors","Get pi to review our notes plan and tickets. Maybe just periodic exports into huly or someth. Tbh until huly gets bigger probably not worth focusing on it e.g. plane.so","TEXT","Star-Sailors","","N","2024-07-16T18:30:00+0000","2024-07-16T18:30:00+0000","PT0S","","5","2","2024-07-13T10:18:54+0000","2024-07-18T06:07:27+0000","-4611686018493218816","Europe/Berlin","false","false","Done","-288230376151678976","kanban","245",""
"Sailing","Star Sailors","Design post card, tutorial and plan out next steps, all offline. Go through all tasks and make plan *CHECK DESCRIPTION***","TEXT","Star-Sailors","Go through old notepages, update obsidianStructures, structuresSort of done, just need to check rest of obsidian","N","2024-07-15T11:00:00+0000","2024-07-15T11:00:00+0000","PT0S","","0","2","2024-07-07T16:55:37+0000","2024-07-18T12:30:30+0000","-4611686018493153280","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","246",""
"Sailing","Star Sailors","Fix classification feed images, add post card form, add some effects","TEXT","Star-Sailors, Classification","","N","2024-07-14T22:00:00+0000","2024-07-14T22:00:00+0000","","","0","2","2024-07-07T16:33:12+0000","2024-07-15T09:33:46+0000","-4611686018493087744","Europe/Zurich","true","false","In Progress","-1152921504606715904","kanban","247",""
"Sailing","Star Sailors","Make a list of ""good"" components to move to the new UI","TEXT","Star-Sailors, Frontend","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-07T14:24:25+0000","2024-08-13T05:10:55+0000","-4611686018492039168","Australia/Perth","true","false","To check","-432345564227518464","kanban","248",""
"Sailing","Star Sailors","Setup oauth for","TEXT","Database, Star-Sailors, api, Users, Talon","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-06T13:43:06+0000","2024-08-06T05:17:39+0000","-4611686018490990592","Australia/Perth","true","false","In Review","-576460752303357952","kanban","249",""
"Sailing","Star Sailors","Draw some squiggly characters like voidpet characters, find drawing tutorial with  background","TEXT","Star-Sailors, Frontend","","N","2024-08-06T11:00:00+0000","2024-08-06T11:00:00+0000","PT0S","","0","2","2024-07-06T13:18:49+0000","2024-08-13T03:21:11+0000","-4611686018489942016","Europe/Berlin","false","false","To check","-432345564227518464","kanban","250",""
"Sailing","Star Sailors","Discuss with Rhys specific tasks & what was achieved for the UI tdy","TEXT","Star-Sailors, Frontend","","N","2024-07-04T10:00:00+0000","2024-07-04T10:00:00+0000","PT0S","","0","2","2024-07-04T06:23:56+0000","2024-07-06T13:17:59+0000","-4611686018488893440","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","251",""
"Sailing","Star Sailors","Identify, log and plan fix for responsiveness issues","TEXT","Layout, Bug, Star-Sailors, Sprints, Frontend","","N","2024-07-02T14:00:00+0000","2024-07-02T14:00:00+0000","PT0S","","0","2","2024-07-01T20:56:27+0000","2024-07-06T13:17:52+0000","-4611686018487844864","Europe/Vienna","false","false","Done","-288230376151678976","kanban","252",""
"Sailing","Star Sailors","Set up SMTP","TEXT","Database, Star-Sailors, api","","N","2024-07-14T22:00:00+0000","2024-07-14T22:00:00+0000","","","3","-1","2024-07-01T18:33:49+0000","2024-07-15T09:33:21+0000","-4611686018486796288","Europe/Zurich","true","false","Done","-288230376151678976","kanban","253",""
"Sailing","Star Sailors","Change SpacecraftButton -> modal that shows available planet. Highlights the fact that fuel is not yet in the game. Can choose planet, will also show a brief description/showcase of what you've got there","TEXT","Missions, Structures, Star-Sailors","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-01T18:31:09+0000","2024-08-13T05:11:00+0000","-4611686018485747712","Australia/Perth","true","false","To check","-432345564227518464","kanban","254",""
"Sailing","Star Sailors","Fix classification feed & update schema","TEXT","Structures, Star-Sailors, Classification","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-07-01T18:13:54+0000","2024-08-13T05:11:06+0000","-4611686018484699136","Australia/Perth","true","false","Done","-288230376151678976","kanban","255",""
"Sailing","Star Sailors","Sage/Buildspace submission ","TEXT","Confluence, Star-Sailors, Sprints","","N","2024-06-30T22:00:00+0000","2024-06-30T22:00:00+0000","","","0","2","2024-07-01T15:25:01+0000","2024-07-01T15:28:32+0000","-4611686018483650560","Europe/Berlin","true","false","Done","-288230376151678976","kanban","256",""
"Sailing","Star Sailors","Build an API on top of the database for fetching & mutating data","TEXT","Star-Sailors, api, Classification","","N","","","","","0","0","2024-07-01T05:21:39+0000","","-4611686018482601984","Europe/Warsaw","false","false","In Progress","-1152921504606715904","kanban","257",""
"Sailing","Star Sailors","Figure out sandbox elements beyond just extra classifications - what will make ME use it in the mrng? Pokedex feature - collect? See my collections on my planet?","TEXT","Missions, Star-Sailors, Classification","","N","2024-08-06T11:00:00+0000","2024-08-06T11:00:00+0000","PT0S","","0","2","2024-07-01T05:07:47+0000","2024-08-13T03:21:54+0000","-4611686018481553408","Europe/Berlin","false","false","In Review","-576460752303357952","kanban","258",""
"Sailing","Star Sailors","Write down plan for jira tickets & technical goals","TEXT","Confluence, Star-Sailors, Sprints","","N","2024-07-01T03:30:00+0000","2024-07-01T03:30:00+0000","PT0S","","0","2","2024-07-01T02:11:50+0000","2024-07-01T03:30:05+0000","-4611686018480504832","Europe/Tallinn","false","false","In Progress","-1152921504606715904","kanban","259",""
"Sailing","Star Sailors","Plan out sprint & timeline for main epics","TEXT","Star-Sailors, Sprints","","N","2024-07-01T02:30:00+0000","2024-07-01T02:30:00+0000","PT0S","","0","2","2024-07-01T02:10:56+0000","2024-07-01T02:11:15+0000","-4611686018479456256","Europe/Tallinn","false","false","Done","-288230376151678976","kanban","260",""
"Sailing","Star Sailors","Classification type form","TEXT","Star-Sailors, Classification","","N","","","","","0","2","2024-06-30T15:25:31+0000","2024-07-06T13:18:02+0000","-4611686018478407680","Europe/Tallinn","false","false","Done","-288230376151678976","kanban","261",""
"Sailing","Star Sailors","Finish textual tutorial information","TEXT","Missions, Star-Sailors, Sprints","","N","2024-06-29T22:00:00+0000","2024-06-29T22:00:00+0000","","","0","2","2024-06-30T06:33:41+0000","2024-06-30T16:21:21+0000","-4611686018478342144","Europe/Tallinn","true","false","Done","-288230376151678976","kanban","262",""
"Sailing","Star Sailors","Move old tickets into new sprint","TEXT","Confluence, Missions, Star-Sailors, Sprints","","N","2024-06-29T21:00:00+0000","2024-06-29T21:00:00+0000","","","0","2","2024-06-29T13:15:11+0000","2024-06-30T15:01:15+0000","-4611686018477293568","Europe/Tallinn","true","false","Done","-288230376151678976","kanban","263",""
"Sailing","Star Sailors","Go through current open tickets & determine feasibility & technical requirements for the actual sprint goal","TEXT","Confluence, Star-Sailors, Sprints","","N","2024-06-27T22:00:00+0000","2024-06-27T22:00:00+0000","","","0","2","2024-06-28T09:37:08+0000","2024-06-28T18:54:18+0000","-4611686018476244992","Europe/Warsaw","true","false","Done","-288230376151678976","kanban","264",""
"Sailing","Star Sailors","Use old sytizen modules for population api","TEXT","Star-Sailors, api, flask, Classification","","N","2024-08-06T11:00:00+0000","2024-08-06T11:00:00+0000","PT0S","","0","2","2024-06-28T09:36:35+0000","2024-08-13T03:22:01+0000","-4611686018475196416","Europe/Warsaw","false","false","To check","-432345564227518464","kanban","265",""
"Sailing","Star Sailors","Add media uploads ","TEXT","Star-Sailors, Classification","","N","","","","","0","0","2024-06-27T17:35:01+0000","","-4611686018474147840","Australia/Perth","false","false","In Review","-576460752303357952","kanban","266",""
"Sailing","Star Sailors","Set up github project, link with jira, confluence","TEXT","","","N","","","","","0","0","2024-06-27T17:21:40+0000","","-4611686018473099264","Europe/Zurich","false","false","In Progress","-1152921504606715904","kanban","267",""
"Sailing","Star Sailors","Match up Jira tickets with issues","TEXT","Star-Sailors, Sprints","Including exporting jiraand confluence","N","2024-06-29T22:00:00+0000","2024-06-29T22:00:00+0000","","","0","2","2024-06-27T17:16:15+0000","2024-06-30T11:09:32+0000","-4611686018472050688","Europe/Warsaw","true","false","In Progress","-1152921504606715904","kanban","268",""
"Sailing","Star Sailors","Fix post collection issue with generating new ids","CHECKLIST","Missions, Star-Sailors, Classification","▪","Y","2024-06-28T09:30:00+0000","2024-06-28T09:30:00+0000","PT0S","","0","2","2024-06-27T05:33:49+0000","2024-06-30T16:21:15+0000","-4611686018471002112","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","269",""
"Sailing","Star Sailors","Look into how we can automate phase folding (or just find better ways to do the simple transits showing something)","TEXT","Database, Star-Sailors, api, flask","","N","2024-06-29T16:30:00+0000","2024-06-29T16:30:00+0000","PT0S","","0","2","2024-06-26T21:36:25+0000","2024-07-04T06:21:30+0000","-4611686018469953536","Europe/Warsaw","false","false","In Progress","-1152921504606715904","kanban","270",""
"Sailing","Star Sailors","Get rid of extra layout complications","TEXT","Star-Sailors","","N","2024-06-26T21:00:00+0000","2024-06-26T21:00:00+0000","","","0","2","2024-06-26T16:18:52+0000","2024-06-29T21:25:22+0000","-4611686018468904960","Europe/Tallinn","true","false","Done","-288230376151678976","kanban","271",""
"Sailing","Star Sailors","Create component plan for next two days (until we get feedback) for the current sprint","TEXT","Confluence, Star-Sailors, Sprints","","N","2024-06-26T06:00:00+0000","2024-06-26T06:00:00+0000","PT0S","","0","2","2024-06-24T16:50:49+0000","2024-06-26T20:59:24+0000","-4611686018467856384","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","272",""
"Sailing","Star Sailors","Read through structures notes & update/move","TEXT","Confluence, Structures, Star-Sailors","","N","2024-06-26T12:30:00+0000","2024-06-26T12:30:00+0000","PT0S","","0","2","2024-06-24T07:43:09+0000","2024-06-26T20:59:17+0000","-4611686018466807808","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","273",""
"Sailing","Star Sailors","Document [plan for] attractive mechanics for staying or leaving your planet","TEXT","Confluence, Star-Sailors, Tutorial","","N","2024-06-25T14:00:00+0000","2024-06-25T14:00:00+0000","PT0S","","0","2","2024-06-24T07:15:39+0000","2024-06-26T20:51:40+0000","-4611686018465759232","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","274",""
"Sailing","Star Sailors","Create jira ticket for spacecraft & push latest changes to new jira ticket","TEXT","Structures, Star-Sailors, Sprints","","N","2024-06-24T06:30:00+0000","2024-06-24T06:30:00+0000","PT0S","","0","2","2024-06-23T21:27:53+0000","2024-06-24T07:20:59+0000","-4611686018464710656","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","275",""
"Sailing","Star Sailors","Get population api route working (forget docker for now)","TEXT","Star-Sailors, Sprints, api","","N","2024-06-26T12:00:00+0000","2024-06-26T12:00:00+0000","PT0S","","0","2","2024-06-23T20:46:58+0000","2024-06-29T21:25:13+0000","-4611686018463662080","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","276",""
"Sailing","Star Sailors","Create a brief for postcards  & check in with testers","TEXT","Star-Sailors, Sprints","","N","2024-06-27T22:00:00+0000","2024-06-27T22:00:00+0000","","","0","2","2024-06-23T20:41:59+0000","2024-07-04T06:22:35+0000","-4611686018462613504","Europe/Warsaw","true","false","Done","-288230376151678976","kanban","277",""
"Sailing","Star Sailors","Go through FCDB board","TEXT","Star-Sailors, Sprints","","N","2024-06-27T22:00:00+0000","2024-06-27T22:00:00+0000","","","0","2","2024-06-23T20:41:38+0000","2024-07-01T05:12:15+0000","-4611686018461564928","Europe/Warsaw","true","false","Done","-288230376151678976","kanban","278",""
"Sailing","Star Sailors","Finish structure modals and draw designs","TEXT","Structures, Star-Sailors","","N","2024-06-29T09:00:00+0000","2024-06-29T09:00:00+0000","PT0S","","0","2","2024-06-23T20:13:01+0000","2024-07-01T18:12:47+0000","-4611686018460516352","Europe/Warsaw","false","false","Done","-288230376151678976","kanban","279",""
"Sailing","Star Sailors","Finish UI sprint retrospective","TEXT","Confluence, Star-Sailors, Sprints","","N","2024-06-22T22:00:00+0000","2024-06-22T22:00:00+0000","","","0","2","2024-06-23T20:12:03+0000","2024-06-24T07:37:40+0000","-4611686018459467776","Europe/Warsaw","true","false","Done","-288230376151678976","kanban","280",""
